aX,aY,aZ,gX,gY,gZ
0.442,-0.151,0.703,40.039,-75.439,-53.345
0.358,-0.173,0.866,59.692,-94.177,-59.265
0.283,-0.283,1.017,88.684,-108.948,-63.171
0.261,-0.363,0.942,114.014,-114.136,-65.063
0.226,-0.416,0.817,134.644,-123.352,-66.284
0.128,-0.490,0.797,160.950,-142.273,-67.261
0.023,-0.682,0.798,194.580,-164.490,-66.772
-0.091,-0.936,0.752,218.689,-185.120,-65.979
-0.187,-1.203,0.683,237.976,-205.811,-57.739
-0.322,-1.371,0.784,248.779,-226.562,-43.518
-0.447,-1.508,0.964,255.005,-240.417,-25.757
-0.522,-1.680,0.967,260.559,-241.577,-5.066
-0.576,-1.758,0.977,260.071,-238.708,18.677
-0.615,-1.790,0.992,264.648,-237.854,46.143
-0.653,-1.792,0.967,273.743,-239.197,75.317
-0.670,-1.784,0.877,285.645,-241.638,102.295
-0.686,-1.791,0.753,301.270,-248.474,126.892
-0.720,-1.823,0.648,318.237,-261.536,149.536
-0.772,-1.907,0.550,333.313,-276.978,170.654
-0.832,-2.004,0.399,341.675,-291.016,191.772
-0.916,-2.089,0.325,344.299,-306.519,212.585
-1.016,-2.248,0.337,348.755,-324.768,234.253
-1.092,-2.348,0.304,347.290,-338.562,258.728
-1.153,-2.360,0.218,341.614,-349.915,287.598
-1.237,-2.464,0.122,339.172,-363.892,317.505
-1.295,-2.441,0.131,327.820,-378.540,345.825
-1.306,-2.201,0.332,305.481,-389.771,372.742
-1.222,-1.869,0.562,283.691,-390.442,394.775
-1.092,-1.550,0.692,262.390,-378.052,407.166
-0.943,-1.287,0.629,239.258,-357.483,405.762
-0.816,-1.246,0.484,223.083,-340.759,395.874
-0.761,-1.236,0.443,207.825,-333.740,385.986
-0.743,-1.215,0.464,190.063,-330.322,380.798
-0.726,-1.134,0.497,167.542,-321.411,377.686
-0.651,-1.028,0.472,143.921,-307.251,374.878
-0.607,-0.812,0.449,116.882,-292.786,369.751
-0.490,-0.607,0.386,90.454,-278.015,364.380
-0.359,-0.335,0.256,61.218,-265.808,356.384
-0.176,-0.068,-0.089,23.071,-260.010,339.478
-0.155,0.312,-0.158,-18.799,-274.231,316.956
-0.151,0.869,0.568,-55.054,-294.250,283.752
-0.073,1.182,1.113,-78.552,-276.672,229.431
0.050,1.111,1.216,-89.111,-230.713,165.405
0.123,0.824,1.002,-92.529,-184.570,109.314
0.121,0.612,0.873,-102.173,-157.959,68.176
0.085,0.440,0.949,-107.117,-149.841,41.260
0.052,0.288,1.179,-106.323,-146.606,24.231
0.048,0.199,1.415,-100.769,-136.353,15.808
0.067,0.117,1.534,-89.905,-118.103,13.916
0.109,0.009,1.508,-74.524,-95.764,16.235
0.178,-0.120,1.368,-59.265,-75.134,21.790
0.248,-0.145,1.223,-48.279,-60.303,29.968
0.308,-0.040,1.131,-41.199,-51.086,38.147
0.380,0.041,1.050,-33.325,-43.274,41.565
0.435,0.088,0.987,-25.146,-36.255,41.260
0.483,0.093,0.909,-19.165,-27.527,37.720
0.535,0.082,0.830,-13.672,-18.738,33.203
0.590,0.101,0.756,-7.141,-10.803,29.846
0.637,0.126,0.698,-1.404,-4.456,25.330
0.656,0.094,0.642,3.967,0.916,19.104
0.680,0.009,0.572,7.874,6.470,11.292
0.708,-0.018,0.503,10.559,10.681,6.104
0.732,-0.030,0.454,12.268,12.390,1.892
0.735,-0.088,0.425,13.550,12.207,-3.235
0.733,-0.172,0.383,14.587,12.207,-8.728
0.740,-0.255,0.339,16.418,11.536,-12.390
0.740,-0.317,0.318,18.372,8.911,-14.465
0.741,-0.381,0.347,19.348,5.188,-16.052
0.736,-0.426,0.392,19.470,2.441,-17.151
0.729,-0.474,0.429,18.921,1.343,-18.005
0.718,-0.512,0.468,16.846,1.343,-18.738
0.708,-0.554,0.489,14.099,2.441,-18.799
0.698,-0.588,0.505,11.536,3.357,-17.822
0.696,-0.587,0.530,9.583,3.845,-15.259
0.696,-0.572,0.547,8.362,4.456,-12.451
0.698,-0.577,0.560,8.118,4.883,-10.254
0.704,-0.586,0.561,8.179,6.104,-8.484
0.713,-0.567,0.559,7.568,7.568,-6.287
0.726,-0.531,0.547,6.165,9.460,-4.395
0.736,-0.502,0.526,4.395,11.353,-3.906
0.747,-0.493,0.499,2.502,12.817,-4.578
0.756,-0.486,0.479,0.854,12.878,-5.493
0.759,-0.470,0.477,-0.732,11.353,-6.348
0.760,-0.460,0.498,-2.197,9.521,-7.019
0.754,-0.476,0.512,-3.113,8.728,-7.751
0.760,-0.472,0.510,-2.686,9.338,-6.775
0.767,-0.450,0.485,-2.380,9.949,-5.005
0.775,-0.437,0.459,-1.709,9.399,-3.845
0.777,-0.428,0.458,-0.793,7.141,-2.747
0.284,-0.337,0.953,14.771,-14.404,-19.958
0.278,-0.352,0.948,12.451,-14.893,-18.616
0.268,-0.346,0.966,10.437,-15.381,-16.907
0.259,-0.350,0.998,9.277,-15.198,-15.015
0.262,-0.347,0.997,8.667,-13.367,-12.695
0.275,-0.319,0.959,8.179,-10.864,-10.132
0.295,-0.255,0.904,7.263,-9.827,-8.789
0.305,-0.226,0.869,8.789,-11.841,-9.888
0.274,-0.241,0.867,11.414,-13.184,-12.207
0.306,-0.263,0.867,11.047,-5.188,-15.381
0.300,-0.280,0.900,11.414,-9.033,-17.700
0.292,-0.294,0.898,10.681,-15.381,-17.517
0.294,-0.311,0.866,11.292,-17.395,-15.625
0.295,-0.289,0.846,9.399,-17.761,-13.977
0.300,-0.269,0.831,7.874,-18.494,-12.817
0.298,-0.273,0.836,7.568,-19.653,-12.390
0.296,-0.278,0.851,6.042,-20.142,-12.085
0.294,-0.265,0.863,4.883,-19.897,-10.864
0.295,-0.228,0.860,5.127,-19.226,-9.766
0.298,-0.197,0.844,7.141,-18.921,-9.949
0.297,-0.187,0.814,8.789,-19.653,-12.329
0.303,-0.192,0.781,10.254,-20.569,-15.320
0.299,-0.197,0.772,10.681,-22.949,-18.860
0.293,-0.213,0.785,11.658,-26.001,-21.545
0.281,-0.212,0.795,12.146,-27.954,-23.193
0.284,-0.184,0.783,11.963,-28.564,-24.719
0.286,-0.154,0.753,12.634,-29.175,-27.588
0.286,-0.122,0.732,15.564,-32.349,-32.227
0.277,-0.073,0.734,23.682,-38.696,-38.269
0.252,-0.074,0.750,38.025,-47.974,-46.143
0.221,-0.126,0.799,61.646,-61.462,-52.917
0.186,-0.167,0.842,94.055,-77.942,-55.969
0.146,-0.189,0.845,129.089,-94.299,-55.786
0.099,-0.215,0.778,160.767,-107.788,-57.007
0.043,-0.287,0.671,185.303,-118.530,-63.354
-0.035,-0.438,0.616,203.125,-128.662,-73.303
-0.134,-0.658,0.604,210.937,-137.817,-84.167
-0.228,-0.892,0.585,210.144,-145.142,-91.064
-0.355,-1.115,0.616,208.496,-153.931,-88.196
-0.448,-1.250,0.754,205.139,-162.170,-77.637
-0.510,-1.356,0.806,201.965,-163.208,-62.195
-0.543,-1.450,0.713,200.012,-162.354,-45.532
