aX,aY,aZ,gX,gY,gZ
0.348,-0.521,0.783,5.981,-2.197,2.319
0.349,-0.513,0.778,6.592,-2.502,2.258
0.344,-0.509,0.764,7.202,-2.686,1.831
0.355,-0.505,0.764,7.141,-3.479,1.099
0.348,-0.509,0.769,6.470,-4.150,0.000
0.350,-0.515,0.773,5.371,-4.333,-0.549
0.341,-0.520,0.788,3.601,-4.333,-0.854
0.333,-0.525,0.797,2.563,-3.784,-1.099
0.324,-0.530,0.795,2.563,-3.479,-0.977
0.328,-0.531,0.799,2.441,-3.296,-0.488
0.322,-0.529,0.796,2.319,-3.113,0.122
0.324,-0.527,0.790,2.686,-2.808,0.732
0.323,-0.522,0.785,3.052,-3.052,1.038
0.319,-0.512,0.789,2.625,-3.418,1.099
0.315,-0.510,0.801,1.526,-3.235,0.427
0.312,-0.515,0.800,0.671,-2.747,-0.427
0.313,-0.516,0.796,1.404,-2.380,-0.488
0.313,-0.520,0.790,1.404,-2.380,-0.732
0.313,-0.521,0.787,0.610,-2.502,-0.671
0.312,-0.521,0.789,0.061,-2.808,-0.488
0.304,-0.519,0.800,-0.549,-3.296,0.000
0.304,-0.514,0.814,-0.732,-3.296,0.305
0.300,-0.519,0.818,-0.183,-2.869,0.549
0.301,-0.520,0.808,0.488,-2.258,1.099
0.301,-0.522,0.804,0.916,-1.831,1.648
0.442,0.510,0.765,-46.814,8.118,101.196
0.449,0.542,0.767,-42.297,9.399,99.121
0.461,0.580,0.761,-39.368,11.902,96.558
0.482,0.608,0.733,-35.889,13.489,92.834
0.482,0.619,0.732,-33.630,11.353,87.219
0.481,0.623,0.762,-30.212,9.521,82.520
0.488,0.636,0.772,-26.367,10.254,78.918
0.501,0.654,0.739,-24.841,12.512,74.585
0.508,0.682,0.708,-25.635,14.099,68.909
0.523,0.699,0.687,-25.879,14.771,62.378
0.528,0.707,0.677,-24.780,14.465,55.298
0.532,0.696,0.666,-23.315,13.489,47.974
0.540,0.679,0.655,-21.484,12.512,40.894
0.544,0.668,0.648,-18.921,10.681,34.729
0.540,0.654,0.647,-16.357,8.423,28.992
0.539,0.632,0.643,-13.550,6.836,23.621
0.539,0.596,0.632,-10.498,5.249,18.860
0.535,0.565,0.628,-9.094,3.113,14.465
0.524,0.541,0.641,-8.789,0.732,10.681
0.510,0.530,0.666,-8.972,-1.099,7.690
0.499,0.519,0.688,-9.094,-2.319,4.395
0.489,0.502,0.710,-8.606,-2.869,0.854
0.477,0.478,0.740,-7.385,-2.869,-1.892
0.463,0.443,0.766,-5.432,-2.258,-4.028
0.457,0.407,0.765,-3.357,-0.916,-5.493
0.455,0.383,0.756,-1.587,0.183,-5.554
0.453,0.371,0.751,-0.244,0.671,-5.188
0.449,0.359,0.755,0.427,0.793,-4.822
0.447,0.352,0.760,0.610,1.526,-4.456
0.452,0.363,0.749,-0.122,2.991,-3.784
0.457,0.397,0.728,-0.977,4.517,-3.357
0.461,0.432,0.719,-1.587,4.944,-3.784
0.456,0.461,0.719,-1.648,4.639,-4.700
0.446,0.497,0.732,-1.526,3.906,-4.883
0.439,0.558,0.741,-0.854,3.174,-3.967
0.436,0.635,0.759,0.671,2.686,-2.319
0.425,0.711,0.809,3.906,1.770,-0.732
0.421,0.806,0.828,7.751,2.686,1.160
0.428,0.914,0.818,12.573,5.310,3.113
0.427,1.013,0.821,19.409,8.301,3.113
0.427,1.080,0.813,29.968,7.446,0.244
0.455,1.152,0.724,35.645,15.503,-5.493
0.499,1.179,0.569,38.391,28.564,-14.771
0.559,1.180,0.409,37.964,37.231,-26.428
0.600,1.187,0.295,30.762,39.551,-40.649
0.635,1.205,0.200,16.235,37.720,-58.289
0.647,1.220,0.166,1.953,31.067,-78.979
0.632,1.222,0.176,-7.263,22.034,-100.342
0.599,1.209,0.213,-9.155,12.634,-121.338
0.550,1.170,0.279,-2.991,2.991,-141.174
0.479,1.094,0.365,11.780,-6.409,-158.325
0.432,0.997,0.451,33.447,-14.893,-172.729
0.395,0.915,0.498,58.838,-19.043,-183.105
0.372,0.888,0.507,80.017,-18.616,-194.397
0.346,0.880,0.493,95.642,-15.076,-210.571
0.294,0.833,0.456,106.201,-10.376,-231.567
0.221,0.706,0.403,114.807,-4.578,-255.981
0.120,0.519,0.314,121.582,-0.061,-278.992
0.028,0.286,0.160,126.648,1.770,-297.546
-0.054,0.051,0.041,129.333,-3.601,-310.547
-0.166,-0.146,0.008,132.263,-22.888,-316.040
-0.268,-0.352,0.083,138.855,-51.025,-316.589
-0.384,-0.574,0.236,148.315,-80.994,-313.721
-0.473,-0.828,0.442,161.499,-106.384,-306.580
-0.555,-1.132,0.669,166.870,-122.314,-296.692
-0.585,-1.413,1.001,151.550,-127.136,-284.546
-0.576,-1.385,1.263,113.159,-115.356,-268.311
-0.510,-1.289,1.149,97.412,-76.599,-240.234
-0.428,-1.342,0.950,89.844,-38.635,-218.506
-0.388,-1.398,0.820,71.411,-18.372,-203.430
-0.324,-1.465,0.763,57.495,-10.437,-187.134
-0.285,-1.554,0.773,43.335,-9.399,-169.250
-0.254,-1.584,0.825,25.513,-11.169,-147.156
-0.225,-1.542,0.885,12.634,-13.916,-123.230
-0.201,-1.446,0.964,5.066,-16.418,-99.548
-0.176,-1.352,1.039,1.831,-15.930,-79.590
-0.139,-1.240,1.047,2.380,-10.498,-61.829
-0.090,-1.145,0.976,5.737,-2.808,-47.974
-0.046,-1.081,0.888,9.460,1.526,-38.574
-0.008,-1.045,0.825,12.756,2.014,-31.677
0.016,-0.998,0.800,14.771,0.122,-25.513
0.034,-0.958,0.794,15.320,-2.197,-20.874
0.054,-0.922,0.794,15.259,-3.906,-16.907
0.063,-0.908,0.790,15.259,-4.944,-13.916
0.066,-0.903,0.791,14.099,-5.676,-11.108
0.075,-0.894,0.809,11.414,-5.798,-7.690
0.082,-0.870,0.813,8.606,-4.883,-4.272
0.094,-0.851,0.789,8.057,-2.258,-1.282
0.115,-0.844,0.754,8.423,-0.183,1.038
0.132,-0.834,0.730,7.629,1.160,3.296
0.147,-0.807,0.726,5.005,1.648,5.798
0.157,-0.790,0.734,1.648,1.587,7.385
0.168,-0.770,0.743,-0.183,1.587,8.972
0.179,-0.743,0.737,-0.183,1.770,10.864
0.193,-0.720,0.726,1.038,1.770,12.390
0.203,-0.705,0.722,2.258,0.977,13.000
0.211,-0.691,0.719,3.601,0.000,13.550
0.219,-0.683,0.718,4.150,-1.282,13.794
0.223,-0.677,0.719,4.211,-2.380,14.038
0.224,-0.671,0.724,3.601,-3.418,14.282
0.222,-0.661,0.740,2.258,-4.272,14.526
0.219,-0.646,0.758,1.465,-4.150,15.198
0.220,-0.632,0.756,2.319,-2.991,15.869
0.222,-0.627,0.748,3.113,-1.770,15.564
0.226,-0.629,0.736,3.601,-0.977,15.076
0.229,-0.632,0.722,3.601,-0.671,14.526
0.232,-0.625,0.713,2.747,-0.732,14.282
0.234,-0.619,0.708,2.319,-1.221,13.855
0.234,-0.614,0.706,1.770,-1.892,13.428
0.234,-0.606,0.706,0.549,-2.686,12.695
0.232,-0.602,0.709,-0.366,-3.601,11.963
0.232,-0.597,0.713,-0.916,-4.761,11.292
0.229,-0.591,0.726,-1.526,-5.493,10.620
0.220,-0.594,0.764,-2.869,-6.287,9.766
0.213,-0.591,0.785,-3.052,-5.615,9.460
0.214,-0.589,0.779,-2.380,-3.601,9.216
0.217,-0.589,0.768,-2.319,-2.136,8.789
0.221,-0.591,0.757,-2.380,-1.526,8.301
0.221,-0.591,0.751,-2.502,-1.526,7.812
0.530,0.411,0.743,-16.418,8.972,38.818
0.535,0.426,0.734,-15.686,9.033,36.682
0.539,0.426,0.717,-13.062,9.155,34.058
0.543,0.420,0.706,-11.963,8.728,31.189
0.540,0.409,0.709,-11.230,7.568,28.442
0.540,0.405,0.707,-8.972,6.714,26.489
0.540,0.399,0.696,-6.958,5.981,24.963
0.544,0.390,0.693,-5.493,5.127,23.499
0.533,0.388,0.708,-6.226,3.784,21.484
0.527,0.375,0.720,-7.202,2.991,19.531
0.518,0.362,0.735,-6.470,2.502,18.188
0.510,0.360,0.744,-5.859,2.258,17.822
0.508,0.363,0.741,-4.761,2.014,17.395
0.510,0.368,0.738,-3.296,1.404,17.151
0.514,0.375,0.734,-2.197,1.099,16.357
0.519,0.392,0.729,-1.465,0.977,15.320
0.517,0.399,0.734,-2.197,0.671,13.306
0.513,0.405,0.748,-3.784,0.793,11.047
0.514,0.418,0.754,-4.089,1.282,9.155
0.516,0.414,0.753,-2.563,1.770,7.202
0.516,0.410,0.748,-1.160,1.953,5.310
0.519,0.401,0.729,1.282,2.075,3.784
0.521,0.390,0.711,3.235,1.526,2.625
0.517,0.389,0.720,3.662,0.305,1.404
0.510,0.389,0.750,3.052,-0.793,0.183
0.501,0.395,0.773,1.648,-0.549,-0.977
0.501,0.405,0.771,1.587,0.549,-1.465
0.506,0.415,0.756,2.991,1.343,-1.953
0.513,0.429,0.750,4.333,1.221,-2.319
0.513,0.447,0.775,5.737,0.916,-2.380
0.523,0.468,0.787,7.080,1.587,-2.502
0.539,0.494,0.774,8.301,3.296,-2.563
0.553,0.512,0.757,8.484,3.967,-3.357
0.557,0.537,0.728,8.606,1.831,-4.578
0.560,0.566,0.722,5.981,1.526,-5.920
0.550,0.612,0.772,1.404,1.526,-7.385
0.550,0.690,0.809,-0.061,3.052,-7.690
0.565,0.789,0.784,1.648,6.531,-7.812
0.618,0.891,0.731,2.930,9.094,-10.376
0.663,1.012,0.678,2.380,9.460,-15.930
0.714,1.115,0.645,2.991,8.118,-26.306
0.750,1.173,0.628,4.944,6.165,-40.588
0.759,1.219,0.628,9.705,4.211,-57.129
0.749,1.221,0.630,20.142,2.136,-74.829
0.744,1.194,0.612,38.452,0.122,-91.980
0.729,1.236,0.614,62.134,-2.014,-107.971
0.699,1.279,0.598,89.355,-2.441,-126.648
0.638,1.167,0.521,112.549,0.366,-152.344
0.562,0.923,0.400,126.709,3.235,-181.213
0.498,0.679,0.259,131.836,6.287,-203.857
0.428,0.476,0.141,135.437,-0.122,-219.360
0.354,0.262,0.064,137.390,-16.235,-230.713
0.270,0.077,0.025,133.057,-35.034,-238.586
0.171,-0.104,0.059,129.089,-57.068,-241.455
0.075,-0.303,0.167,127.380,-80.750,-240.112
0.008,-0.428,0.281,124.817,-98.206,-233.826
-0.049,-0.496,0.424,125.549,-116.394,-224.060
-0.122,-0.588,0.594,125.610,-126.648,-215.027
-0.192,-0.760,0.796,119.873,-126.160,-207.153
-0.228,-0.962,0.918,118.591,-116.272,-195.007
-0.206,-1.088,0.915,120.850,-100.159,-175.537
-0.159,-1.150,0.831,121.216,-83.923,-152.222
-0.123,-1.147,0.776,114.014,-72.937,-129.700
-0.092,-1.116,0.778,99.182,-66.589,-110.535
-0.073,-1.061,0.825,81.238,-60.181,-94.299
-0.057,-0.976,0.876,60.669,-51.392,-80.994
-0.034,-0.890,0.870,42.603,-39.795,-71.411
-0.016,-0.828,0.834,27.771,-28.748,-65.613
-0.001,-0.789,0.807,13.977,-20.752,-62.134
0.002,-0.751,0.792,4.211,-16.113,-59.448
0.011,-0.722,0.774,0.793,-14.526,-56.580
0.019,-0.691,0.783,2.808,-16.174,-53.162
0.018,-0.663,0.810,8.057,-18.860,-49.255
0.016,-0.660,0.838,14.893,-21.301,-45.837
0.014,-0.670,0.840,22.888,-22.339,-41.870
0.017,-0.678,0.820,30.579,-21.973,-37.292
0.023,-0.682,0.804,34.241,-20.996,-33.020
0.031,-0.671,0.789,33.752,-19.226,-29.358
0.039,-0.657,0.779,30.457,-17.151,-26.978
0.045,-0.640,0.786,24.780,-15.137,-25.696
0.052,-0.631,0.805,18.799,-12.817,-25.208
0.058,-0.632,0.806,14.465,-10.193,-24.780
0.065,-0.634,0.800,12.390,-8.240,-23.560
0.072,-0.636,0.800,11.780,-7.812,-22.156
0.076,-0.634,0.816,12.207,-8.301,-20.569
0.078,-0.632,0.833,13.000,-8.484,-18.738
0.080,-0.636,0.861,13.611,-8.240,-16.907
0.084,-0.631,0.875,13.184,-6.897,-15.137
0.092,-0.631,0.865,13.123,-4.578,-13.733
0.101,-0.640,0.854,12.634,-2.869,-12.573
0.110,-0.638,0.852,10.864,-1.831,-11.475
0.116,-0.631,0.854,9.094,-0.854,-10.315
0.124,-0.622,0.856,8.301,-0.427,-9.155
0.128,-0.615,0.849,8.484,0.244,-8.179
0.132,-0.619,0.841,9.644,0.610,-7.446
0.135,-0.624,0.835,10.559,0.793,-6.714
0.138,-0.626,0.827,11.292,0.793,-5.676
0.139,-0.628,0.818,11.353,0.732,-4.944
0.143,-0.635,0.806,10.498,0.610,-4.456
0.142,-0.634,0.804,8.484,0.427,-3.662
0.143,-0.626,0.810,6.104,0.305,-3.052
0.139,-0.617,0.822,3.845,0.183,-2.808
0.137,-0.613,0.829,1.648,0.427,-2.991
0.136,-0.616,0.830,0.244,1.038,-3.113
0.138,-0.620,0.824,-0.305,1.526,-3.113
0.142,-0.622,0.816,-0.305,1.526,-2.625
0.145,-0.616,0.810,0.061,0.916,-1.587
0.144,-0.604,0.820,0.732,0.122,-1.160
0.144,-0.597,0.834,1.587,-0.366,-0.977
0.146,-0.594,0.835,2.502,-0.244,-0.854
0.147,-0.593,0.830,3.174,-0.244,-0.732
0.145,-0.597,0.832,3.296,-0.366,-0.732
0.142,-0.602,0.841,2.991,-0.427,-0.610
0.139,-0.603,0.849,2.869,-0.488,-0.122
0.137,-0.601,0.852,2.686,0.061,0.488
0.139,-0.600,0.849,2.625,1.038,0.977
0.140,-0.602,0.842,2.380,2.014,1.770
0.145,-0.598,0.828,2.136,2.930,2.625
0.150,-0.588,0.814,2.075,3.479,3.296
0.494,0.268,0.783,3.418,-0.916,-0.122
0.494,0.264,0.776,2.075,-0.488,-0.183
0.498,0.256,0.770,1.770,-0.122,-0.366
0.505,0.258,0.762,1.770,0.549,-0.244
0.510,0.263,0.758,2.258,0.916,-0.427
0.511,0.266,0.755,2.869,1.038,-0.610
0.511,0.271,0.754,2.686,1.465,-1.160
0.511,0.272,0.754,3.174,1.587,-1.526
0.508,0.271,0.764,4.211,1.587,-1.953
0.504,0.271,0.774,3.784,1.526,-2.625
0.501,0.275,0.772,4.028,1.587,-2.991
0.502,0.282,0.775,4.333,1.526,-2.747
0.503,0.284,0.773,3.723,1.587,-2.136
0.505,0.291,0.770,2.380,1.465,-1.465
0.506,0.290,0.759,1.099,1.404,-1.221
0.505,0.287,0.757,0.244,1.221,-1.099
0.509,0.286,0.747,-0.366,0.793,-0.488
0.502,0.294,0.772,-2.136,0.244,-0.122
0.501,0.295,0.774,-2.563,0.671,-0.732
0.499,0.299,0.778,-3.479,0.610,-0.977
0.496,0.303,0.790,-5.005,0.183,-1.465
0.491,0.304,0.803,-5.127,0.183,-2.136
0.490,0.316,0.800,-3.052,0.977,-2.502
0.491,0.320,0.792,-0.854,1.709,-3.418
0.493,0.324,0.793,-0.244,2.075,-4.639
0.494,0.336,0.792,0.000,2.747,-5.676
0.498,0.337,0.786,0.305,3.784,-7.202
0.495,0.341,0.778,0.183,4.211,-8.789
0.493,0.354,0.776,0.671,4.089,-9.338
0.492,0.389,0.783,1.160,3.479,-9.399
0.489,0.423,0.789,1.770,3.357,-10.437
0.479,0.453,0.801,1.648,3.357,-12.512
0.469,0.494,0.822,0.793,3.845,-14.709
0.466,0.545,0.823,1.831,4.639,-16.541
0.459,0.609,0.839,2.563,5.310,-18.799
0.449,0.666,0.856,1.587,6.348,-22.522
0.457,0.739,0.863,0.977,8.057,-26.184
0.475,0.829,0.865,1.404,9.827,-30.090
0.494,0.899,0.857,0.793,12.573,-37.109
0.502,0.952,0.835,-0.366,16.541,-46.936
0.510,0.990,0.808,-1.709,20.874,-58.411
0.518,1.019,0.778,-1.587,24.902,-70.679
0.523,1.047,0.747,-1.892,28.931,-83.618
0.528,1.067,0.711,-3.052,32.471,-97.595
0.552,1.099,0.685,-3.601,35.400,-112.915
0.563,1.160,0.679,-5.432,37.842,-130.127
0.576,1.233,0.689,-6.409,40.894,-150.879
0.558,1.240,0.689,-4.089,44.189,-175.537
0.532,1.188,0.687,-1.099,48.584,-203.430
0.491,1.185,0.688,2.869,52.917,-230.225
0.427,1.188,0.649,10.498,57.861,-257.874
0.336,1.072,0.571,20.813,61.035,-288.208
0.239,0.871,0.441,32.654,61.584,-317.078
0.166,0.647,0.245,46.021,57.007,-338.745
0.101,0.481,0.094,54.871,47.791,-354.187
-0.022,0.317,0.069,57.007,32.898,-369.324
-0.162,0.091,0.099,57.007,19.226,-384.094
-0.275,-0.259,0.108,58.289,11.719,-393.494
-0.367,-0.642,0.175,52.124,-1.038,-395.813
-0.417,-0.978,0.331,38.025,-21.484,-386.414
-0.411,-1.249,0.459,34.119,-40.649,-363.892
-0.387,-1.464,0.563,37.170,-54.993,-330.139
-0.332,-1.624,0.590,41.565,-62.073,-292.847
-0.266,-1.731,0.644,38.757,-65.979,-256.409
-0.226,-1.749,0.773,30.151,-69.397,-217.957
-0.199,-1.640,0.934,22.888,-68.054,-178.284
-0.171,-1.470,1.034,19.348,-57.922,-143.555
-0.130,-1.323,1.046,19.165,-42.053,-117.920
-0.089,-1.245,0.989,18.250,-24.780,-100.647
-0.044,-1.207,0.932,13.611,-9.827,-88.318
-0.006,-1.168,0.892,9.521,-1.221,-76.904
0.029,-1.095,0.862,5.737,4.578,-65.979
0.063,-1.021,0.837,3.723,9.460,-56.458
0.097,-0.990,0.805,4.761,13.000,-49.316
0.130,-0.976,0.757,7.141,15.503,-42.786
0.162,-0.960,0.708,8.911,16.174,-36.133
0.191,-0.937,0.671,11.719,14.648,-29.480
0.217,-0.899,0.651,15.625,11.292,-22.461
0.241,-0.853,0.632,20.264,7.935,-15.991
0.253,-0.815,0.625,22.583,4.700,-11.414
0.269,-0.790,0.616,23.193,2.502,-8.545
0.282,-0.767,0.618,22.156,0.916,-6.775
0.297,-0.750,0.628,19.165,-0.122,-5.859
0.308,-0.747,0.635,15.198,-0.488,-5.249
0.322,-0.749,0.632,11.719,-0.610,-4.333
0.332,-0.753,0.641,8.301,-1.038,-3.174
0.337,-0.751,0.661,5.554,-2.075,-1.770
0.345,-0.735,0.678,4.639,-2.563,0.000
0.353,-0.706,0.695,5.127,-3.052,2.563
0.362,-0.687,0.699,6.165,-3.174,4.456
0.368,-0.682,0.693,7.263,-3.296,5.310
0.375,-0.682,0.687,7.263,-3.235,5.981
0.382,-0.672,0.689,6.592,-3.479,6.958
0.387,-0.660,0.689,6.348,-4.150,8.057
0.391,-0.647,0.692,6.470,-4.822,8.728
0.393,-0.642,0.696,6.409,-5.127,8.911
0.393,-0.641,0.694,6.226,-5.066,8.789
0.392,-0.634,0.697,5.920,-5.005,8.606
0.389,-0.626,0.698,5.737,-4.822,8.484
0.388,-0.624,0.697,5.127,-4.089,7.996
0.385,-0.620,0.698,4.150,-3.174,7.446
0.383,-0.622,0.695,2.930,-2.380,6.470
0.384,-0.621,0.687,1.526,-1.587,5.737
0.384,-0.621,0.687,0.366,-1.404,4.883
0.383,-0.617,0.687,-0.244,-1.282,4.395
0.385,-0.613,0.688,-0.549,-1.282,3.906
0.384,-0.611,0.690,-0.183,-1.709,3.479
0.383,-0.608,0.693,0.549,-2.258,3.174
0.381,-0.607,0.698,1.038,-2.563,2.808
0.377,-0.608,0.705,1.282,-2.991,2.319
0.374,-0.615,0.711,1.526,-3.235,1.892
0.373,-0.619,0.717,1.526,-3.357,1.648
0.371,-0.615,0.722,2.136,-3.052,1.770
0.369,-0.611,0.727,2.808,-2.808,1.648
0.367,-0.618,0.732,3.479,-2.380,1.404
0.366,-0.628,0.724,4.089,-1.465,1.160
0.363,-0.638,0.718,4.395,-0.732,1.404
0.363,-0.638,0.707,4.333,0.183,1.831
0.365,-0.636,0.699,4.089,0.854,2.136
0.446,0.305,0.831,-3.235,-2.014,21.362
0.448,0.299,0.817,-2.014,-1.709,20.264
0.451,0.302,0.810,-2.014,-1.465,19.165
0.450,0.299,0.809,-2.380,-1.343,17.456
0.441,0.285,0.829,-2.930,-0.732,15.564
0.435,0.264,0.848,-3.296,0.183,14.099
0.435,0.253,0.845,-3.174,1.953,13.916
0.435,0.253,0.833,-3.235,3.784,14.221
0.439,0.258,0.810,-2.991,4.517,13.977
0.445,0.251,0.791,-2.136,4.272,13.489
0.443,0.245,0.780,-1.465,2.991,13.123
0.442,0.243,0.776,-1.648,1.465,12.634
0.441,0.244,0.781,-2.380,0.488,12.268
0.439,0.249,0.792,-2.625,-0.488,11.719
0.439,0.255,0.802,-2.380,-1.038,11.292
0.439,0.254,0.807,-1.465,-1.221,10.803
0.439,0.258,0.806,-1.038,-1.099,10.498
0.439,0.273,0.808,-1.038,-1.038,10.132
0.441,0.279,0.806,-0.732,-0.793,9.094
0.440,0.285,0.807,-0.488,-0.732,8.240
0.436,0.291,0.821,-0.061,-0.549,7.751
0.435,0.307,0.826,0.061,0.183,7.568
0.438,0.334,0.820,-0.244,1.221,6.897
0.436,0.362,0.822,0.061,1.892,5.554
0.431,0.381,0.836,0.183,2.014,3.235
0.426,0.386,0.845,0.488,2.502,0.916
0.419,0.400,0.850,1.526,3.296,-0.732
0.415,0.437,0.853,2.319,4.089,-1.709
0.409,0.468,0.853,3.357,5.188,-4.272
0.403,0.488,0.853,4.944,6.287,-7.996
0.398,0.500,0.866,6.226,7.324,-11.841
0.391,0.519,0.886,6.775,8.667,-15.625
0.386,0.549,0.891,6.775,11.597,-18.860
0.376,0.586,0.903,7.507,14.160,-21.912
0.357,0.633,0.958,8.606,16.479,-24.536
0.337,0.685,0.996,10.193,21.667,-27.588
0.322,0.739,0.979,12.512,28.931,-31.189
0.324,0.800,0.958,15.503,33.813,-34.790
0.310,0.903,0.957,20.020,34.424,-38.452
0.325,1.007,0.944,27.466,35.278,-43.457
0.347,1.114,0.976,32.654,39.978,-51.514
0.364,1.199,0.999,38.635,46.814,-61.829
0.396,1.257,0.923,43.823,58.228,-75.806
0.446,1.300,0.774,47.363,70.618,-93.445
0.500,1.342,0.618,50.537,79.285,-113.464
0.550,1.401,0.508,54.199,83.984,-135.620
0.550,1.473,0.467,59.937,86.609,-162.231
0.494,1.474,0.420,68.054,89.539,-195.190
0.408,1.325,0.312,80.078,95.398,-230.469
0.361,1.054,0.177,90.454,99.670,-262.695
0.286,0.885,0.127,90.820,97.168,-288.696
0.213,0.836,0.094,76.843,93.750,-314.087
0.128,0.751,0.074,59.998,89.722,-341.248
0.030,0.578,0.043,49.744,83.801,-366.150
-0.104,0.438,0.023,35.339,76.355,-388.123
-0.259,0.187,0.027,24.353,58.960,-407.959
-0.430,-0.230,0.091,20.142,33.997,-426.575
-0.550,-0.692,0.198,18.921,8.240,-432.190
-0.613,-1.116,0.320,21.118,-19.348,-423.645
-0.632,-1.455,0.466,25.024,-48.096,-401.978
-0.616,-1.725,0.604,33.325,-69.702,-368.713
